Unnamed: 0,token,lemma_fll,lemma@POS,status,lemma,POS,tokenURI,sent_id,NER,RE_artikel,nested_RE_artikel
2064,porrigitur,6738678,porrigo@V,lta-unique-wf,porrigo,V,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002065,60,,,
2065,et,109830,et@CON,lta-unique-wf,et,CON,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002066,60,,,
2066,confinia,243297396,confinium@NN,lta-multiple-wfs-unique-lemma,confinium,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002067,60,,,
2067,Blemmyarum,243188454,Blemmyae@NE,lta-unique-wf,Blemmyae,NE,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002068,60,B-GRP,,
2068,",",PUNC,PUNC@PUNC,PUNC,PUNC,PUNC,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002069,60,,,
2069,omnes,2744425,omnis@ADJ,lta-multiple-wfs-unique-lemma,omnis,ADJ,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002070,60,,,
2070,pari,539256854,par@ADJ,lta-multiple-wfs-unique-lemma,par,ADJ,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002071,60,,,
2071,sorte,243463653,sors@NN,lta-unique-wf,sors,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002072,60,,,
2072,sunt,242825914,sum@V,lta-unique-wf,sum,V,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002073,60,,,
2073,bellatores,809453,bellator@NN,lta-multiple-wfs-unique-lemma,bellator,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002074,60,,,
2074,seminudi,3033831,seminudus@ADJ,lta-multiple-wfs-unique-lemma,seminudus,ADJ,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002075,60,,,
2075,coloratis,875740,coloratus@NN,lta-multiple-wfs-unique-lemma,coloratus,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002076,60,,,
2076,sagulis,1338317,sagulum@NN,lta-multiple-wfs-unique-lemma,sagulum,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002077,60,,,
2077,pube,243437273,pubes@NN,lta-unique-wf,pubes,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002078,60,,,
2078,tenus,243481370,tenus@NN,lta-multiple-wfs-unique-lemma,tenus,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002079,60,,,
2079,amicti,3601908,amicio@V,lta-multiple-wfs-unique-lemma,amicio,V,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002080,60,,,
2080,",",PUNC,PUNC@PUNC,PUNC,PUNC,PUNC,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002081,60,,,
2081,equorum,999635,equus@NN,lta-unique-wf,equus,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002082,60,,,
2082,adiumento,715406,adiumentum@NN,lta-multiple-wfs-unique-lemma,adiumentum,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002083,60,,,
2083,pernicium,1242787,pernicies@NN,lta-multiple-wfs-unique-lemma,pernicies,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002084,60,,,
2084,graciliumque,801418540,gracilis@ADJ,lta-multiple-wfs-unique-lemma,gracilis,ADJ,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002085,60,,,
2085,camelorum,828068,camelus@NN,lta-unique-wf,camelus,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002086,60,,,
2086,per,109612,per@AP,lta-unique-wf,per,AP,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002087,60,,,
2087,diversa,496413012,diversus@ADJ,lta-multiple-wfs-unique-lemma,diversus,ADJ,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002088,60,,,
2088,se,242816794,sui@PRO,lta-multiple-wfs-unique-lemma,sui,PRO,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002089,60,,,
2089,raptantes,7043243,rapto@V,lta-multiple-wfs-unique-lemma,rapto,V,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002090,60,,,
2090,",",PUNC,PUNC@PUNC,PUNC,PUNC,PUNC,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002091,60,,,
2091,in,109579,in@AP,lta-unique-wf,in,AP,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002092,60,,,
2092,tranquillis,3200352,tranquillus@ADJ,lta-multiple-wfs-unique-lemma,tranquillus,ADJ,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002093,60,,,
2093,vel,110080,vel@CON,lta-unique-wf,vel,CON,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002094,60,,,
2094,turbidis,3222657,turbidus@ADJ,lta-multiple-wfs-unique-lemma,turbidus,ADJ,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002095,60,,,
2095,rebus,242825947,res@NN,lta-multiple-wfs-unique-lemma,res,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002096,60,,,
2096,:,PUNC,PUNC@PUNC,PUNC,PUNC,PUNC,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002097,60,,,
2097,nec,109873,nec@CON,lta-unique-wf,nec,CON,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002098,60,,,
2098,eorum,244510043,is@PRO,lta-multiple-wfs-unique-lemma,is,PRO,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002099,60,,,
2099,quisquam,242514542,quisquam@ADJ,lta-unique-wf,quisquam,ADJ,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002100,60,,,
2100,aliquando,119590,aliquando@ADV,lta-unique-wf,aliquando,ADV,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002101,60,,,
2101,stivam,1376008,stiva@NN,lta-unique-wf,stiva,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002102,60,,,
2102,adprehendit,3702937,apprehendo@V,lta-multiple-wfs-unique-lemma,apprehendo,V,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002103,60,,,
2103,vel,110080,vel@CON,lta-unique-wf,vel,CON,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002104,60,,,
2104,arborem,243257272,arbor@NN,lta-unique-wf,arbor,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002105,60,,,
2105,colit,4248968,colo@V,lta-unique-wf,colo,V,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002106,60,,,
2106,aut,109790,aut@CON,lta-unique-wf,aut,CON,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002107,60,,,
2107,arva,1675449,arvus@ADJ,lta-multiple-wfs-unique-lemma,arvus,ADJ,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002108,60,,,
2108,subigendo,498808683,subigo@V,lta-multiple-wfs-unique-lemma,subigo,V,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002109,60,,,
2109,quaeritat,7026119,quaerito@V,lta-unique-wf,quaerito,V,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002110,60,,,
2110,victum,243498343,victus@NN,lta-unique-wf,victus,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002111,60,,,
2111,",",PUNC,PUNC@PUNC,PUNC,PUNC,PUNC,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002112,60,,,
2112,sed,110012,sed@CON,lta-unique-wf,sed,CON,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002113,60,,,
2113,errant,5249775,erro@V,lta-unique-wf,erro,V,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002114,60,,,
2114,semper,241336670,semper@ADV,lta-unique-wf,semper,ADV,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002115,60,,,
2115,per,109612,per@AP,lta-unique-wf,per,AP,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002116,60,,,
2116,spatia,243463966,spatium@NN,lta-multiple-wfs-unique-lemma,spatium,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002117,60,,,
2117,longe,2620771,longus@ADJ,lta-unique-wf,longus,ADJ,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002118,60,,,
2118,lateque,540415562,late@ADV,lta-unique-wf,late,ADV,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002119,60,,,
2119,distenta,2208225,distentus@ADJ,lta-multiple-wfs-unique-lemma,distentus,ADJ,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002120,60,,,
2120,sine,243462093,sinus@NN,lta-unique-wf,sinus,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002121,60,,,
2121,lare,1131188,laros@NN,lta-unique-wf,laros,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002122,60,,,
2122,sine,109660,sine@AP,lta-unique-wf,sine,AP,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002123,60,,,
2123,sedibus,241479205,sedes@NN,lta-multiple-wfs-unique-lemma,sedes,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002124,60,,,
2124,fixis,2325514,fixus@ADJ,lta-multiple-wfs-unique-lemma,fixus,ADJ,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002125,60,,,
2125,aut,109790,aut@CON,lta-unique-wf,aut,CON,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002126,60,,,
2126,legibus,1137965,lex@NN,lta-multiple-wfs-unique-lemma,lex,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002127,60,,,
2127,:,PUNC,PUNC@PUNC,PUNC,PUNC,PUNC,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002128,60,,,
2128,nec,109873,nec@CON,lta-unique-wf,nec,CON,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002129,60,,,
2129,idem,244509770,idem@PRO,lta-multiple-wfs-unique-lemma,idem,PRO,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002130,60,,,
2130,perferunt,6595365,perfero@V,lta-multiple-wfs-unique-lemma,perfero,V,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002131,60,,,
2131,diutius,167820,diu@ADV,lta-unique-wf,diu,ADV,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002132,60,,,
2132,caelum,823492,caelum@NN,lta-multiple-wfs-unique-lemma,caelum,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002133,60,,,
2133,aut,109790,aut@CON,lta-unique-wf,aut,CON,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002134,60,,,
2134,tractus,243484219,tractus@NN,lta-multiple-wfs-unique-lemma,tractus,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002135,60,,,
2135,unius,256859,unus@NUM,lta-multiple-wfs-unique-lemma,unus,NUM,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002136,60,,,
2136,soli,242623303,solus@ADJ,lta-multiple-wfs-unique-lemma,solus,ADJ,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002137,60,,,
2137,illis,1066776,hilla@NN,lta-multiple-wfs-unique-lemma,hilla,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002138,60,,,
2138,umquam,249786,umquam@ADV,lta-unique-wf,umquam,ADV,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002139,60,,,
2139,placet,6715148,placet@V,lta-unique-wf,placet,V,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002140,60,,,
2140,.,PUNC,PUNC@PUNC,PUNC,PUNC,PUNC,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002141,60,,,
2141,4,241346596,NUMERAL@NUM,lta-unique-wf,NUMERAL,NUM,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002142,61,,,
2142,Vita,597980768,ProperName@NE,lta-unique-wf,ProperName,NE,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002143,61,,,
2143,est,242825881,sum@V,lta-unique-wf,sum,V,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002144,61,,,
2144,illis,1066776,hilla@NN,lta-multiple-wfs-unique-lemma,hilla,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002145,61,,,
2145,semper,241336670,semper@ADV,lta-unique-wf,semper,ADV,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002146,61,,,
2146,in,109579,in@AP,lta-unique-wf,in,AP,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002147,61,,,
2147,fuga,1043497,fuga@NN,lta-multiple-wfs-unique-lemma,fuga,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002148,61,,,
2148,uxoresque,241492914,uxor@NN,lta-unique-wf,uxor,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002149,61,,,
2149,mercenariae,2655536,mercenarius@ADJ,lta-multiple-super-lemmata,mercenarius,ADJ,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002150,61,,,
2150,conductae,1980198,conductus@ADJ,lta-multiple-wfs-unique-lemma,conductus,ADJ,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002151,61,,,
2151,ad,109455,ad@AP,lta-unique-wf,ad,AP,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002152,61,,,
2152,tempus,243481071,tempus@NN,lta-multiple-wfs-unique-lemma,tempus,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002153,61,,,
2153,ex,109567,ex@AP,lta-unique-wf,ex,AP,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002154,61,,,
2154,pacto,1220410,pactum@NN,lta-multiple-wfs-unique-lemma,pactum,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002155,61,,,
2155,atque,109774,atque@CON,lta-unique-wf,atque,CON,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002156,61,,,
2156,",",PUNC,PUNC@PUNC,PUNC,PUNC,PUNC,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002157,61,,,
2157,ut,110063,ut@CON,lta-unique-wf,ut,CON,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002158,61,,,
2158,sit,244519866,sum@V,lta-unique-wf,sum,V,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002159,61,,,
2159,species,243464003,species@NN,lta-multiple-wfs-unique-lemma,species,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002160,61,,,
2160,matrimonii,241454336,matrimonium@NN,lta-multiple-wfs-unique-lemma,matrimonium,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002161,61,,,
2161,",",PUNC,PUNC@PUNC,PUNC,PUNC,PUNC,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002162,61,,,
2162,dotis,980738,dos@NN,lta-unique-wf,dos,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002163,61,,,
2163,nomine,243402774,nomen@NN,lta-unique-wf,nomen,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002164,61,,,
2164,futura,2358915,futurus@ADJ,lta-multiple-wfs-unique-lemma,futurus,ADJ,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002165,61,,,
2165,coniunx,243299280,coniunx@NN,lta-multiple-wfs-unique-lemma,coniunx,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002166,61,,,
2166,hastam,1062439,hasta@NN,lta-unique-wf,hasta,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002167,61,,,
2167,et,109830,et@CON,lta-unique-wf,et,CON,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002168,61,,,
2168,tabernaculum,1408841,tabernaculum@NN,lta-multiple-wfs-unique-lemma,tabernaculum,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002169,61,,,
2169,offert,244516183,offero@V,lta-multiple-wfs-unique-lemma,offero,V,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002170,61,,,
2170,marito,1158029,maritus@NN,lta-multiple-wfs-unique-lemma,maritus,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002171,61,,,
2171,",",PUNC,PUNC@PUNC,PUNC,PUNC,PUNC,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002172,61,,,
2172,post,109618,post@AP,lta-unique-wf,post,AP,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002173,61,,,
2173,statum,253418523,status@NN,lta-multiple-wfs-unique-lemma,status,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002174,61,,,
2174,diem,594734978,dies@NN,lta-multiple-wfs-unique-lemma,dies,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002175,61,,,
2175,si,110022,si@CON,lta-unique-wf,si,CON,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002176,61,,,
2176,id,242816237,is@PRO,lta-multiple-wfs-unique-lemma,is,PRO,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002177,61,,,
2177,elegerit,5189710,eligo@V,lta-multiple-wfs-unique-lemma,eligo,V,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002178,61,,,
2178,discessura,241921744,discessurus@ADJ,lta-multiple-wfs-unique-lemma,discessurus,ADJ,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002179,61,,,
2179,",",PUNC,PUNC@PUNC,PUNC,PUNC,PUNC,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002180,61,,,
2180,et,109830,et@CON,lta-unique-wf,et,CON,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002181,61,,,
2181,incredibile,2469581,incredibilis@ADJ,lta-multiple-wfs-unique-lemma,incredibilis,ADJ,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002182,61,,,
2182,est,242825881,sum@V,lta-unique-wf,sum,V,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002183,61,,,
2183,quo,109976,quo@CON,lta-unique-wf,quo,CON,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002184,61,,,
2184,ardore,243258027,ardor@NN,lta-unique-wf,ardor,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002185,61,,,
2185,apud,109489,apud@AP,lta-unique-wf,apud,AP,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002186,61,,,
2186,eos,244510049,is@PRO,lta-unique-wf,is,PRO,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002187,61,,,
2187,in,109579,in@AP,lta-unique-wf,in,AP,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002188,61,,,
2188,venerem,7964198,veneror@V,lta-unique-wf,veneror,V,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002189,61,,,
2189,uterque,244512416,uterque@PRO,lta-unique-wf,uterque,PRO,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002190,61,,,
2190,solvitur,7394672,solvo@V,lta-unique-wf,solvo,V,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002191,61,,,
2191,sexus,243460867,sexus@NN,lta-multiple-wfs-unique-lemma,sexus,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002192,61,,,
2192,.,PUNC,PUNC@PUNC,PUNC,PUNC,PUNC,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002193,61,,,
2193,5,241346596,NUMERAL@NUM,lta-unique-wf,NUMERAL,NUM,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002194,62,,,
2194,Ita,488455221,Ita@NP,lta-multiple-wfs-unique-lemma,Ita,NP,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002195,62,,,
2195,autem,109794,autem@CON,lta-unique-wf,autem,CON,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002196,62,,,
2196,quoad,241332170,quoad@ADV,lta-unique-wf,quoad,ADV,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002197,62,,,
2197,vixerint,8034304,vivo@V,lta-multiple-wfs-unique-lemma,vivo,V,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002198,62,,,
2198,",",PUNC,PUNC@PUNC,PUNC,PUNC,PUNC,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002199,62,,,
2199,late,198387,late@ADV,lta-unique-wf,late,ADV,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002200,62,,,
2200,palantur,6517777,palor@V,lta-unique-wf,palor,V,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002201,62,,,
2201,",",PUNC,PUNC@PUNC,PUNC,PUNC,PUNC,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002202,62,,,
2202,ut,110063,ut@CON,lta-unique-wf,ut,CON,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002203,62,,,
2203,alibi,119468,alibi@ADV,lta-unique-wf,alibi,ADV,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002204,62,,,
2204,mulier,243397833,mulier@NN,lta-multiple-wfs-unique-lemma,mulier,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002205,62,,,
2205,nubat,6333262,nubo@V,lta-unique-wf,nubo,V,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002206,62,,,
2206,",",PUNC,PUNC@PUNC,PUNC,PUNC,PUNC,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002207,62,,,
2207,in,109579,in@AP,lta-unique-wf,in,AP,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002208,62,,,
2208,loco,1143711,locus@NN,lta-multiple-wfs-unique-lemma,locus,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002209,62,,,
2209,pariat,6527331,pario@V,lta-multiple-lemmata-unique-superlemma,pario,V,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002210,62,,,
2210,alio,595330601,alius@NN,lta-unique-wf,alius,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002211,62,,,
2211,liberosque,487835877,liber@ADJ,lta-unique-wf,liber,ADJ,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002212,62,,,
2212,procul,221993,procul@ADV,lta-unique-wf,procul,ADV,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002213,62,,,
2213,educat,5139590,educo@V,lta-multiple-lemmata-unique-superlemma,educo,V,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002214,62,,,
2214,nulla,244510538,nullus@PRO,lta-multiple-wfs-unique-lemma,nullus,PRO,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002215,62,,,
2215,copia,914289,copia@NN,lta-multiple-wfs-unique-lemma,copia,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002216,62,,,
2216,quiescendi,498747946,quiesco@V,lta-multiple-wfs-unique-lemma,quiesco,V,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002217,62,,,
2217,permissa,1242135,permissum@NN,lta-multiple-wfs-unique-lemma,permissum,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002218,62,,,
2218,.,PUNC,PUNC@PUNC,PUNC,PUNC,PUNC,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002219,62,,,
2219,6,241346596,NUMERAL@NUM,lta-unique-wf,NUMERAL,NUM,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002220,63,,,
2220,Victus,241495360,victus@NN,lta-multiple-wfs-unique-lemma,victus,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002221,63,,,
2221,universis,3239673,universus@ADJ,lta-multiple-wfs-unique-lemma,universus,ADJ,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002222,63,,,
2222,caro,834852,caro@NN,lta-unique-wf,caro,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002223,63,,,
2223,ferina,1031175,ferina@NN,lta-multiple-wfs-unique-lemma,ferina,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002224,63,,,
2224,est,242825881,sum@V,lta-unique-wf,sum,V,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002225,63,,,
2225,lactisque,503502301,lac@NN,lta-unique-wf,lac,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002226,63,,,
2226,abundans,3374339,abundo@V,lta-multiple-wfs-unique-lemma,abundo,V,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002227,63,,,
2227,copia,914289,copia@NN,lta-multiple-wfs-unique-lemma,copia,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002228,63,,,
2228,qua,498533151,qui@PRO,lta-unique-wf,qui,PRO,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002229,63,,,
2229,sustentantur,7764679,sustento@V,lta-unique-wf,sustento,V,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002230,63,,,
2230,",",PUNC,PUNC@PUNC,PUNC,PUNC,PUNC,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002231,63,,,
2231,et,109830,et@CON,lta-unique-wf,et,CON,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002232,63,,,
2232,herbae,1064552,herba@NN,lta-multiple-wfs-unique-lemma,herba,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002233,63,,,
2233,multiplices,244118964,multiplex@ADJ,lta-multiple-wfs-unique-lemma,multiplex,ADJ,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002234,63,,,
2234,et,109830,et@CON,lta-unique-wf,et,CON,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002235,63,,,
2235,siquae,244511740,siquis@PRO,lta-multiple-wfs-unique-lemma,siquis,PRO,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002236,63,,,
2236,alites,243247109,ales@NN,lta-multiple-wfs-unique-lemma,ales,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002237,63,,,
2237,capi,3960061,capio@V,lta-unique-wf,capio,V,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002238,63,,,
2238,per,109612,per@AP,lta-unique-wf,per,AP,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002239,63,,,
2239,aucupium,243264353,aucupium@NN,lta-multiple-wfs-unique-lemma,aucupium,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002240,63,,,
2240,possint,244516514,possum@V,lta-unique-wf,possum,V,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002241,63,,,
2241,",",PUNC,PUNC@PUNC,PUNC,PUNC,PUNC,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002242,63,,,
2242,et,109830,et@CON,lta-unique-wf,et,CON,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002243,63,,,
2243,plerosque,555544842,plerusque@ADJ,lta-unique-wf,plerusque,ADJ,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002244,63,,,
2244,mos,1175436,mos@NN,lta-multiple-wfs-unique-lemma,mos,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002245,63,,,
2245,vidimus,8004614,video@V,lta-unique-wf,video,V,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002246,63,,,
2246,frumenti,5560688,frumo@V,lta-multiple-wfs-unique-lemma,frumo,V,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002247,63,,,
2247,usum,243491427,usus@NN,lta-unique-wf,usus,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002248,63,,,
2248,et,109830,et@CON,lta-unique-wf,et,CON,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002249,63,,,
2249,vini,8013991,vincio@V,lta-unique-wf,vincio,V,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00002250,63,,,
